Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price
1,Classic Board Game,Building Blocks,11.86,23.39
2,Pro Puzzle Pack,Arts & Crafts,8.36,15.54
3,Retro Princess Doll,Building Blocks,7.93,11.1
4,Deluxe Builder Set,Baby & Toddler,7.93,16.54
5,Smart Art Kit,Plush,21.51,29.41
6,Retro Science Lab,Action Figures,13.76,29.92
7,Pro Explorer Kit #7,Baby & Toddler,6.97,10.49
8,Classic Racing Car,Toy Vehicles,12.16,18.31
9,Rainbow Board Game,Baby & Toddler,10.31,17.7
10,Smart Space Ship,Board Games,3.15,5.03
11,Mini Farm Set,Building Blocks,5.17,8.26
12,Galaxy Castle,Building Blocks,10.73,17.83
13,Deluxe Explorer Kit,Toy Vehicles,20.21,30.71
14,Rocket Princess Doll #14,Building Blocks,7.97,14.24
15,Galaxy Sticker Book,Outdoor Play,6.69,12.49
16,Mini Robot,STEM Kits,9.59,14.34
17,Magic Princess Doll,Arts & Crafts,6.49,12.54
18,Mega Farm Set,Arts & Crafts,7.69,13.26
19,Ocean Castle,Toy Vehicles,8.96,12.36
20,Galaxy Castle,Puzzles,5.04,10.7
21,Adventure Princess Doll #21,STEM Kits,14.19,22.92
22,Retro Art Kit,Puzzles,4.61,8.26
23,Ocean Farm Set,Puzzles,4.35,9.46
24,Retro Art Kit,Toy Vehicles,10.06,20.21
25,Deluxe Art Kit,Educational,13.55,19.31
26,Rainbow Farm Set,Dolls,9.92,15.04
27,Mini Science Lab,Toy Vehicles,8.47,14.23
28,Smart Drone Toy #28,Educational,7.65,12.09
29,Ocean Puzzle Pack,Pretend Play,7.01,11.14
30,Eco Art Kit,Toy Vehicles,16.14,29.23
31,Neo Music Toy,Toy Vehicles,10.79,15.25
32,Galaxy Art Kit,Pretend Play,7.3,15.98
33,City Drone Toy,Board Games,6.22,8.43
34,Deluxe Plush Bear,Plush,12.63,25.8
35,Glow Music Toy #35,Board Games,15.91,31.91
36,Rocket Farm Set,Plush,15.06,21.28
37,City Board Game,Card Games,5.69,11.86
38,Mega Card Deck,Action Figures,7.61,14.31
39,Rainbow Plush Bear,Toy Vehicles,6.93,11.19
40,Dino Racing Car,Outdoor Play,8.15,13.26
41,Classic Board Game,Card Games,14.11,29.69
42,City Plush Bear #42,Puzzles,19.03,33.33
43,City Action Hero,Outdoor Play,11.01,21.98
44,Eco Castle,STEM Kits,6.33,11.57
45,Retro Stacking Blocks,Puzzles,8.85,15.88
46,Rainbow Drone Toy,Action Figures,21.34,36.56
47,Mega Castle,Action Figures,9.47,15.31
48,Pro Robot,Outdoor Play,7.66,13.65
49,Neo Princess Doll #49,Arts & Crafts,8.0,13.59
50,Jungle Princess Doll,Plush,10.98,21.87
51,Eco Drone Toy,Board Games,5.79,12.39
52,Adventure Stacking Blocks,Puzzles,6.85,13.95
53,Smart Card Deck,Baby & Toddler,14.93,30.35
54,Magic Farm Set,STEM Kits,10.81,16.31
55,Ocean Stacking Blocks,Collectibles,9.52,19.39
56,Mega Art Kit #56,Card Games,15.38,32.48
57,Mini Space Ship,Arts & Crafts,6.13,9.46
58,Neo Card Deck,Action Figures,7.54,12.92
59,Neo Art Kit,Arts & Crafts,10.62,14.4
60,Mini Robot,Action Figures,10.42,18.59
61,Mini Robot,Arts & Crafts,4.14,6.01
62,Mini Stacking Blocks,Educational,7.16,11.72
63,Adventure Drone Toy #63,Arts & Crafts,8.26,14.79
64,Retro Puzzle Pack,STEM Kits,11.27,21.95
65,Pro Drone Toy,Model Kits,10.4,22.55
66,Smart Plush Bear,Baby & Toddler,8.66,13.54
67,Dino Castle,Building Blocks,3.14,5.0
68,Dino Explorer Kit,Baby & Toddler,8.89,12.28
69,Mega Robot,Dolls,9.33,13.0
70,Rainbow Plush Bear #70,Pretend Play,34.98,55.51
71,Smart Science Lab,Arts & Crafts,8.12,11.96
72,Eco Music Toy,Card Games,10.65,18.81
73,Adventure Explorer Kit,Puzzles,16.92,26.26
74,Mini Explorer Kit,Arts & Crafts,13.65,26.88
75,Deluxe Card Deck,Building Blocks,19.52,36.86
76,Mini Art Kit,Action Figures,4.17,7.53
77,Dino Drone Toy #77,Puzzles,5.23,7.24
78,Smart Farm Set,Model Kits,6.61,12.24
79,Glow Farm Set,Dolls,3.85,7.31
80,Rocket Board Game,Action Figures,9.37,14.04
81,Magic Music Toy,Card Games,5.44,11.68
82,Eco Science Lab,Model Kits,21.17,31.05
83,Smart Robot,Outdoor Play,5.87,12.54
84,Rainbow Robot #84,Dolls,7.56,15.84
85,Neo Drone Toy,Dolls,14.12,28.87
86,Deluxe Stacking Blocks,Puzzles,4.59,8.36
87,Glow Princess Doll,Plush,3.73,5.33
88,Pro Farm Set,Plush,9.99,21.11
89,Neo Art Kit,Building Blocks,10.41,17.05
90,Mini Music Toy,Dolls,13.87,22.84
91,Adventure Science Lab #91,Educational,12.03,25.31
92,Pro Board Game,Educational,10.63,21.4
93,Eco Train Set,Pretend Play,6.21,9.24
94,Rainbow Princess Doll,Card Games,10.25,21.67
95,Ocean Action Hero,Action Figures,10.6,14.36
96,Mini Card Deck,Building Blocks,6.09,9.05
97,City Board Game,STEM Kits,25.18,47.95
98,Galaxy Princess Doll #98,Board Games,11.71,18.04
99,Galaxy Train Set,Arts & Crafts,5.28,8.59
100,Ocean Card Deck,Puzzles,13.91,27.6
101,City Builder Set,Outdoor Play,15.33,29.26
102,Mega Puzzle Pack,Outdoor Play,11.33,20.77
103,Mega Plush Bear,Toy Vehicles,7.89,12.43
104,Adventure Train Set,Board Games,5.96,9.28
105,Rainbow Science Lab #105,STEM Kits,8.65,18.24
106,City Drone Toy,Toy Vehicles,10.89,20.54
107,Deluxe Princess Doll,Toy Vehicles,9.09,16.73
108,Adventure Robot,Baby & Toddler,20.07,35.5
109,Rainbow Puzzle Pack,Action Figures,12.73,20.22
110,Glow Explorer Kit,Toy Vehicles,5.63,7.72
111,Retro Builder Set,Baby & Toddler,5.01,10.77
112,Mini Puzzle Pack #112,Building Blocks,11.77,25.43
113,Galaxy Sticker Book,Dolls,7.98,10.88
114,Dino Puzzle Pack,Board Games,13.37,28.6
115,Magic Castle,Dolls,11.71,25.4
116,Galaxy Science Lab,Dolls,8.67,17.99
117,Mega Castle,Arts & Crafts,5.66,11.74
118,Eco Art Kit,Baby & Toddler,3.92,6.35
119,Glow Music Toy #119,Puzzles,10.15,21.78
120,Glow Space Ship,Action Figures,4.55,8.83
121,Pro Board Game,Baby & Toddler,5.55,10.39
122,Mega Farm Set,Puzzles,9.82,21.52
123,Jungle Art Kit,Dolls,9.32,19.53
124,Ocean Castle,STEM Kits,4.81,9.52
125,Pro Art Kit,Outdoor Play,16.37,27.1
126,Smart Farm Set #126,Action Figures,16.11,25.77
127,Adventure Princess Doll,Educational,11.98,25.0
128,Galaxy Stacking Blocks,Toy Vehicles,11.97,25.45
129,Retro Space Ship,Pretend Play,11.98,24.3
130,Mega Board Game,Action Figures,75.11,142.89
131,Neo Board Game,Puzzles,15.25,32.12
132,Mega Action Hero,Dolls,12.91,21.14
133,Galaxy Space Ship #133,Baby & Toddler,5.9,10.87
134,City Plush Bear,Baby & Toddler,7.92,10.93
135,Neo Science Lab,Pretend Play,32.24,51.38
136,Deluxe Music Toy,Toy Vehicles,3.23,5.98
137,City Card Deck,Action Figures,6.96,10.15
138,Galaxy Music Toy,STEM Kits,16.43,29.47
139,Rainbow Action Hero,Plush,6.09,11.45
140,Mega Train Set #140,Educational,13.12,18.66
141,Dino Space Ship,Outdoor Play,9.25,16.74
142,Magic Card Deck,Pretend Play,6.31,11.94
143,Smart Music Toy,Board Games,2.96,6.0
144,Glow Action Hero,Pretend Play,10.0,15.8
145,Rocket Card Deck,Outdoor Play,5.84,8.01
146,Magic Train Set,Action Figures,8.47,18.37
147,Dino Sticker Book #147,STEM Kits,11.91,20.22
148,Ocean Explorer Kit,Educational,14.53,21.76
149,Smart Stacking Blocks,Card Games,6.95,12.63
150,Glow Princess Doll,Model Kits,6.3,12.33
151,City Action Hero,Outdoor Play,4.51,9.75
152,Mini Art Kit,Educational,14.95,29.56
153,Pro Science Lab,Outdoor Play,29.0,49.49
154,Classic Robot #154,Board Games,15.92,24.84
155,Jungle Action Hero,Arts & Crafts,18.12,24.68
156,Ocean Music Toy,Plush,6.12,8.87
157,Rocket Drone Toy,STEM Kits,11.52,20.2
158,Pro Puzzle Pack,Pretend Play,13.82,19.81
159,Mega Music Toy,Action Figures,1.52,2.28
160,Glow Stacking Blocks,Arts & Crafts,5.14,8.83
161,Deluxe Card Deck #161,Card Games,22.15,41.86
162,Mega Explorer Kit,Arts & Crafts,4.11,5.71
163,Ocean Stacking Blocks,Board Games,19.94,35.45
164,Ocean Action Hero,Educational,4.1,8.52
165,Retro Explorer Kit,Baby & Toddler,5.26,7.42
166,Jungle Explorer Kit,Puzzles,11.64,22.07
167,Pro Board Game,Toy Vehicles,9.38,20.16
168,Pro Board Game #168,Model Kits,7.3,13.43
169,Mini Train Set,Card Games,21.59,37.56
170,Adventure Space Ship,Arts & Crafts,4.57,8.29
171,Retro Princess Doll,Educational,8.3,17.99
172,Eco Art Kit,Board Games,12.47,26.43
173,Eco Science Lab,Pretend Play,10.53,14.85
174,Dino Music Toy,Plush,6.41,10.39
175,Retro Explorer Kit #175,Educational,6.53,9.47
176,Deluxe Science Lab,Baby & Toddler,14.4,27.97
177,Rocket Sticker Book,Baby & Toddler,14.8,29.23
178,Neo Farm Set,Action Figures,10.69,21.73
179,Classic Castle,Model Kits,5.72,11.37
180,Rocket Music Toy,Outdoor Play,6.63,13.5
